127.0.0.1 - - [10/Aug/2020:10:20:07 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:20:17 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:20:17 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:20:30 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 500 6807
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:24:35 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 500 6807
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:24:36 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 500 6807
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:24:49 -0300] "GET /casadocodigo/produtos/form HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:24:51 -0300] "POST /casadocodigo/produtos/ HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:24:58 -0300] "POST /casadocodigo/produtos/ HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:25:01 -0300] "POST /casadocodigo/produtos/ HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:25:05 -0300] "POST /casadocodigo/produtos/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2020:10:25:05 -0300] "GET /casadocodigo/produtos HTTP/1.1" 200 759
